atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster26,Ward,df_AbioticsDistance,204024.557950117
AtLeastIn1,PG,Cluster26,Medoid,df_LatDephtDistance,53369.9882479443
AtLeastIn1,PG,Cluster26,Medoid,df_AbioticsDistance,212444.030473666
AtLeastIn1,PG,Cluster27,Ward,df_LatDephtDistance,39334.5755574619
AtLeastIn1,PG,Cluster27,Ward,df_AbioticsDistance,197702.617694508
AtLeastIn1,PG,Cluster27,Medoid,df_LatDephtDistance,45943.2626058385
AtLeastIn1,PG,Cluster27,Medoid,df_AbioticsDistance,178950.497552087
AtLeastIn1,PG,Cluster28,Ward,df_LatDephtDistance,39322.5314715169
AtLeastIn1,PG,Cluster28,Ward,df_AbioticsDistance,197399.417440179
AtLeastIn1,PG,Cluster28,Medoid,df_LatDephtDistance,39509.1066649591
AtLeastIn1,PG,Cluster28,Medoid,df_AbioticsDistance,174815.070214946
AtLeastIn1,PG,Cluster29,Ward,df_LatDephtDistance,38746.1584457467
AtLeastIn1,PG,Cluster29,Ward,df_AbioticsDistance,196965.866386938
AtLeastIn1,PG,Cluster29,Medoid,df_LatDephtDistance,34828.2091086967
AtLeastIn1,PG,Cluster29,Medoid,df_AbioticsDistance,161613.405452193
AtLeastIn1,PG,Cluster30,Ward,df_LatDephtDistance,37889.3776545569
AtLeastIn1,PG,Cluster30,Ward,df_AbioticsDistance,184910.0142238
AtLeastIn1,PG,Cluster30,Medoid,df_LatDephtDistance,35321.080928021
AtLeastIn1,PG,Cluster30,Medoid,df_AbioticsDistance,153416.865420898
AtLeastIn1,PG,Cluster31,Ward,df_LatDephtDistance,35618.7992457908
AtLeastIn1,PG,Cluster31,Ward,df_AbioticsDistance,167039.548048006
AtLeastIn1,PG,Cluster31,Medoid,df_LatDephtDistance,32463.4768532734
AtLeastIn1,PG,Cluster31,Medoid,df_AbioticsDistance,141810.967619568
AtLeastIn1,PG,Cluster32,Ward,df_LatDephtDistance,31682.6707779738
AtLeastIn1,PG,Cluster32,Ward,df_AbioticsDistance,164933.429651033
AtLeastIn1,PG,Cluster32,Medoid,df_LatDephtDistance,31034.7994782857
AtLeastIn1,PG,Cluster32,Medoid,df_AbioticsDistance,129618.451616192
AtLeastIn1,PG,Cluster33,Ward,df_LatDephtDistance,30038.2018851976
