atleast,agglevel,clusters,method,dimension,TotalSum,AlphaGeo
AtLeastIn1,PG,Cluster25,Medoid,df_LatDephtDistance,235325.25496573,0
AtLeastIn1,PG,Cluster25,Medoid,df_AbioticsDistance,230303.960884908,0
AtLeastIn1,PG,Cluster26,Ward,df_LatDephtDistance,207098.990355505,0
AtLeastIn1,PG,Cluster26,Ward,df_AbioticsDistance,204024.557950117,0
AtLeastIn1,PG,Cluster26,Medoid,df_LatDephtDistance,217561.343782373,0
AtLeastIn1,PG,Cluster26,Medoid,df_AbioticsDistance,212444.030473666,0
AtLeastIn1,PG,Cluster27,Ward,df_LatDephtDistance,200664.963277421,0
AtLeastIn1,PG,Cluster27,Ward,df_AbioticsDistance,197702.617694508,0
AtLeastIn1,PG,Cluster27,Medoid,df_LatDephtDistance,183661.674251501,0
AtLeastIn1,PG,Cluster27,Medoid,df_AbioticsDistance,178950.497552087,0
AtLeastIn1,PG,Cluster28,Ward,df_LatDephtDistance,200363.979466997,0
AtLeastIn1,PG,Cluster28,Ward,df_AbioticsDistance,197399.417440179,0
AtLeastIn1,PG,Cluster28,Medoid,df_LatDephtDistance,178504.67519911,0
AtLeastIn1,PG,Cluster28,Medoid,df_AbioticsDistance,174815.070214946,0
AtLeastIn1,PG,Cluster29,Ward,df_LatDephtDistance,199840.460114238,0
AtLeastIn1,PG,Cluster29,Ward,df_AbioticsDistance,196965.866386938,0
AtLeastIn1,PG,Cluster29,Medoid,df_LatDephtDistance,164774.715059034,0
AtLeastIn1,PG,Cluster29,Medoid,df_AbioticsDistance,161613.405452193,0
AtLeastIn1,PG,Cluster30,Ward,df_LatDephtDistance,187884.174140439,0
AtLeastIn1,PG,Cluster30,Ward,df_AbioticsDistance,184910.0142238,0
AtLeastIn1,PG,Cluster30,Medoid,df_LatDephtDistance,156941.514093916,0
AtLeastIn1,PG,Cluster30,Medoid,df_AbioticsDistance,153416.865420898,0
AtLeastIn1,PG,Cluster31,Ward,df_LatDephtDistance,169955.047721549,0
AtLeastIn1,PG,Cluster31,Ward,df_AbioticsDistance,167039.548048006,0
AtLeastIn1,PG,Cluster31,Medoid,df_LatDephtDistance,144993.231475325,0
AtLeastIn1,PG,Cluster31,Medoid,df_AbioticsDistance,141810.967619568,0
AtLeastIn1,PG,Cluster32,Ward,df_LatDephtDistance,167531.249327381,0
AtLeastIn1,PG,Cluster32,Ward,df_AbioticsDistance,164933.429651033,0
AtLeastIn1,PG,Cluster32,Medoid,df_LatDephtDistance,132508.436542262,0
AtLeastIn1,PG,Cluster32,Medoid,df_AbioticsDistance,129618.451616192,0
AtLeastIn1,PG,Cluster33,Ward,df_LatDephtDistance,164779.308994548,0
AtLeastIn1,PG,Cluster33,Ward,df_AbioticsDistance,162323.114241605,0
AtLeastIn1,PG,Cluster33,Medoid,df_LatDephtDistance,131870.229065466,0
AtLeastIn1,PG,Cluster33,Medoid,df_AbioticsDistance,129066.996588303,0
AtLeastIn1,PG,Cluster34,Ward,df_LatDephtDistance,164330.15221498,0
AtLeastIn1,PG,Cluster34,Ward,df_AbioticsDistance,161932.62305914,0
AtLeastIn1,PG,Cluster34,Medoid,df_LatDephtDistance,129970.57658309,0
AtLeastIn1,PG,Cluster34,Medoid,df_AbioticsDistance,127482.760584586,0
AtLeastIn1,PG,Cluster35,Ward,df_LatDephtDistance,150659.761381536,0
AtLeastIn1,PG,Cluster35,Ward,df_AbioticsDistance,148644.262928271,0
AtLeastIn1,PG,Cluster35,Medoid,df_LatDephtDistance,128933.949554789,0
AtLeastIn1,PG,Cluster35,Medoid,df_AbioticsDistance,126437.296382285,0
AtLeastIn1,PG,Cluster36,Ward,df_LatDephtDistance,149623.134353235,0
AtLeastIn1,PG,Cluster36,Ward,df_AbioticsDistance,147598.79872597,0
AtLeastIn1,PG,Cluster36,Medoid,df_LatDephtDistance,125216.582193852,0
AtLeastIn1,PG,Cluster36,Medoid,df_AbioticsDistance,123078.311324347,0
AtLeastIn1,PG,Cluster37,Ward,df_LatDephtDistance,130129.183224135,0
AtLeastIn1,PG,Cluster37,Ward,df_AbioticsDistance,128308.354481548,0
AtLeastIn1,PG,Cluster37,Medoid,df_LatDephtDistance,114831.050145209,0
AtLeastIn1,PG,Cluster37,Medoid,df_AbioticsDistance,112622.101718121,0
AtLeastIn1,PG,Cluster38,Ward,df_LatDephtDistance,127030.215042399,0
AtLeastIn1,PG,Cluster38,Ward,df_AbioticsDistance,125218.264030604,0
AtLeastIn1,PG,Cluster38,Medoid,df_LatDephtDistance,103286.582052929,0
AtLeastIn1,PG,Cluster38,Medoid,df_AbioticsDistance,101242.994497426,0
AtLeastIn1,PG,Cluster39,Ward,df_LatDephtDistance,119908.463285754,0
AtLeastIn1,PG,Cluster39,Ward,df_AbioticsDistance,118149.69247594,0
AtLeastIn1,PG,Cluster39,Medoid,df_LatDephtDistance,92706.3517686375,0
AtLeastIn1,PG,Cluster39,Medoid,df_AbioticsDistance,90657.599310284,0
AtLeastIn1,PG,Cluster40,Ward,df_LatDephtDistance,96935.6725888396,0
AtLeastIn1,PG,Cluster40,Ward,df_AbioticsDistance,95178.3235470518,0
AtLeastIn1,PG,Cluster40,Medoid,df_LatDephtDistance,91982.5901355347,0
AtLeastIn1,PG,Cluster40,Medoid,df_AbioticsDistance,90051.7673263192,0
AtLeastIn1,PG,Cluster41,Ward,df_LatDephtDistance,96278.5260343916,0
AtLeastIn1,PG,Cluster41,Ward,df_AbioticsDistance,94613.1269339804,0
AtLeastIn1,PG,Cluster41,Medoid,df_LatDephtDistance,90764.9846020413,0
AtLeastIn1,PG,Cluster41,Medoid,df_AbioticsDistance,88906.2717829648,0
AtLeastIn1,PG,Cluster42,Ward,df_LatDephtDistance,92931.6790095753,0
AtLeastIn1,PG,Cluster42,Ward,df_AbioticsDistance,91237.8176549571,0
AtLeastIn1,PG,Cluster42,Medoid,df_LatDephtDistance,89137.4490308299,0
AtLeastIn1,PG,Cluster42,Medoid,df_AbioticsDistance,87344.3970969403,0
AtLeastIn1,PG,Cluster43,Ward,df_LatDephtDistance,85935.6243554083,0
AtLeastIn1,PG,Cluster43,Ward,df_AbioticsDistance,84206.5339403578,0
AtLeastIn1,PG,Cluster43,Medoid,df_LatDephtDistance,88678.5444468092,0
AtLeastIn1,PG,Cluster43,Medoid,df_AbioticsDistance,86881.7917676854,0
AtLeastIn1,PG,Cluster44,Ward,df_LatDephtDistance,85183.8423675999,0
AtLeastIn1,PG,Cluster44,Ward,df_AbioticsDistance,83513.6494626443,0
AtLeastIn1,PG,Cluster44,Medoid,df_LatDephtDistance,84376.6875575718,0
AtLeastIn1,PG,Cluster44,Medoid,df_AbioticsDistance,82662.5998248495,0
AtLeastIn1,PG,Cluster45,Ward,df_LatDephtDistance,83296.3111925635,0
AtLeastIn1,PG,Cluster45,Ward,df_AbioticsDistance,81799.5570363955,0
AtLeastIn1,PG,Cluster45,Medoid,df_LatDephtDistance,78578.4370977641,0
AtLeastIn1,PG,Cluster45,Medoid,df_AbioticsDistance,76897.5330856866,0
AtLeastIn1,PG,Cluster46,Ward,df_LatDephtDistance,81545.1586347002,0
AtLeastIn1,PG,Cluster46,Ward,df_AbioticsDistance,80104.2358059727,0
AtLeastIn1,PG,Cluster46,Medoid,df_LatDephtDistance,72544.4494375184,0
AtLeastIn1,PG,Cluster46,Medoid,df_AbioticsDistance,70864.1775822323,0
AtLeastIn1,PG,Cluster47,Ward,df_LatDephtDistance,80533.491462855,0
AtLeastIn1,PG,Cluster47,Ward,df_AbioticsDistance,79089.3249674888,0
AtLeastIn1,PG,Cluster47,Medoid,df_LatDephtDistance,71448.8094415144,0
AtLeastIn1,PG,Cluster47,Medoid,df_AbioticsDistance,69792.3954015585,0
AtLeastIn1,PG,Cluster48,Ward,df_LatDephtDistance,77417.2304739984,0
AtLeastIn1,PG,Cluster48,Ward,df_AbioticsDistance,75965.977152146,0
AtLeastIn1,PG,Cluster48,Medoid,df_LatDephtDistance,71355.2820201725,0
