atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster26,Medoid,df_AbioticsDistance,223689.323306581
AtLeastIn1,PG,Cluster27,Ward,df_LatDephtDistance,16838.0538980779
AtLeastIn1,PG,Cluster27,Ward,df_AbioticsDistance,185525.863952929
AtLeastIn1,PG,Cluster27,Medoid,df_LatDephtDistance,16903.0207836234
AtLeastIn1,PG,Cluster27,Medoid,df_AbioticsDistance,222216.497092687
AtLeastIn1,PG,Cluster28,Ward,df_LatDephtDistance,14182.0316170878
AtLeastIn1,PG,Cluster28,Ward,df_AbioticsDistance,179636.117714947
AtLeastIn1,PG,Cluster28,Medoid,df_LatDephtDistance,15977.9517336422
AtLeastIn1,PG,Cluster28,Medoid,df_AbioticsDistance,217126.103151199
AtLeastIn1,PG,Cluster29,Ward,df_LatDephtDistance,13208.6105424313
AtLeastIn1,PG,Cluster29,Ward,df_AbioticsDistance,173660.689794657
AtLeastIn1,PG,Cluster29,Medoid,df_LatDephtDistance,15973.4795976872
AtLeastIn1,PG,Cluster29,Medoid,df_AbioticsDistance,216773.266615626
AtLeastIn1,PG,Cluster30,Ward,df_LatDephtDistance,12465.1293816418
AtLeastIn1,PG,Cluster30,Ward,df_AbioticsDistance,168391.590085235
AtLeastIn1,PG,Cluster30,Medoid,df_LatDephtDistance,15948.3343537607
AtLeastIn1,PG,Cluster30,Medoid,df_AbioticsDistance,216178.646235444
AtLeastIn1,PG,Cluster31,Ward,df_LatDephtDistance,12104.1747635115
AtLeastIn1,PG,Cluster31,Ward,df_AbioticsDistance,162193.492818755
AtLeastIn1,PG,Cluster31,Medoid,df_LatDephtDistance,13767.9944480399
AtLeastIn1,PG,Cluster31,Medoid,df_AbioticsDistance,181567.822255298
AtLeastIn1,PG,Cluster32,Ward,df_LatDephtDistance,11460.1955576843
AtLeastIn1,PG,Cluster32,Ward,df_AbioticsDistance,159968.426521521
AtLeastIn1,PG,Cluster32,Medoid,df_LatDephtDistance,11873.9646608971
AtLeastIn1,PG,Cluster32,Medoid,df_AbioticsDistance,150362.401468232
AtLeastIn1,PG,Cluster33,Ward,df_LatDephtDistance,11455.7234217293
AtLeastIn1,PG,Cluster33,Ward,df_AbioticsDistance,159615.589985948
AtLeastIn1,PG,Cluster33,Medoid,df_LatDephtDistance,10122.0361813651
AtLeastIn1,PG,Cluster33,Medoid,df_AbioticsDistance,138060.276374171
AtLeastIn1,PG,Cluster34,Ward,df_LatDephtDistance,10941.878778715
AtLeastIn1,PG,Cluster34,Ward,df_AbioticsDistance,150998.582692823
AtLeastIn1,PG,Cluster34,Medoid,df_LatDephtDistance,9282.24578932937
AtLeastIn1,PG,Cluster34,Medoid,df_AbioticsDistance,136663.277625212
AtLeastIn1,PG,Cluster35,Ward,df_LatDephtDistance,9545.39196405605
AtLeastIn1,PG,Cluster35,Ward,df_AbioticsDistance,149239.986689086
AtLeastIn1,PG,Cluster35,Medoid,df_LatDephtDistance,8782.9436789697
AtLeastIn1,PG,Cluster35,Medoid,df_AbioticsDistance,130333.784142772
AtLeastIn1,PG,Cluster36,Ward,df_LatDephtDistance,7957.16369279931
AtLeastIn1,PG,Cluster36,Ward,df_AbioticsDistance,121603.838362718
AtLeastIn1,PG,Cluster36,Medoid,df_LatDephtDistance,8770.89959302473
AtLeastIn1,PG,Cluster36,Medoid,df_AbioticsDistance,130030.583888443
AtLeastIn1,PG,Cluster37,Ward,df_LatDephtDistance,6436.10956536251
AtLeastIn1,PG,Cluster37,Ward,df_AbioticsDistance,103438.192648329
AtLeastIn1,PG,Cluster37,Medoid,df_LatDephtDistance,7982.16058389894
AtLeastIn1,PG,Cluster37,Medoid,df_AbioticsDistance,121762.122629291
AtLeastIn1,PG,Cluster38,Ward,df_LatDephtDistance,6424.06547941754
AtLeastIn1,PG,Cluster38,Ward,df_AbioticsDistance,103134.992393999
AtLeastIn1,PG,Cluster38,Medoid,df_LatDephtDistance,6551.95027797583
AtLeastIn1,PG,Cluster38,Medoid,df_AbioticsDistance,113602.996256098
AtLeastIn1,PG,Cluster39,Ward,df_LatDephtDistance,6069.70549271664
AtLeastIn1,PG,Cluster39,Ward,df_AbioticsDistance,94075.083623148
AtLeastIn1,PG,Cluster39,Medoid,df_LatDephtDistance,6434.95046602554
AtLeastIn1,PG,Cluster39,Medoid,df_AbioticsDistance,112811.6799015
AtLeastIn1,PG,Cluster40,Ward,df_LatDephtDistance,5983.95741379979
AtLeastIn1,PG,Cluster40,Ward,df_AbioticsDistance,93926.6126319223
AtLeastIn1,PG,Cluster40,Medoid,df_LatDephtDistance,6052.00209638626
AtLeastIn1,PG,Cluster40,Medoid,df_AbioticsDistance,112008.193416545
AtLeastIn1,PG,Cluster41,Ward,df_LatDephtDistance,5797.64657091454
AtLeastIn1,PG,Cluster41,Ward,df_AbioticsDistance,93421.8429591481
AtLeastIn1,PG,Cluster41,Medoid,df_LatDephtDistance,5807.65598508132
AtLeastIn1,PG,Cluster41,Medoid,df_AbioticsDistance,105278.436499518
AtLeastIn1,PG,Cluster42,Ward,df_LatDephtDistance,5469.28598543295
AtLeastIn1,PG,Cluster42,Ward,df_AbioticsDistance,91526.9441439084
