atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster25,Ward,df_LatDephtDistance,220589.150622597
AtLeastIn1,PG,Cluster25,Ward,df_AbioticsDistance,207210.211897541
AtLeastIn1,PG,Cluster25,Medoid,df_LatDephtDistance,247345.990396163
AtLeastIn1,PG,Cluster25,Medoid,df_AbioticsDistance,230303.960884908
AtLeastIn1,PG,Cluster26,Ward,df_LatDephtDistance,216087.694526276
AtLeastIn1,PG,Cluster26,Ward,df_AbioticsDistance,204024.557950117
AtLeastIn1,PG,Cluster26,Medoid,df_LatDephtDistance,229524.190993333
AtLeastIn1,PG,Cluster26,Medoid,df_AbioticsDistance,212444.030473666
AtLeastIn1,PG,Cluster27,Ward,df_LatDephtDistance,209367.046605035
AtLeastIn1,PG,Cluster27,Ward,df_AbioticsDistance,197702.617694508
AtLeastIn1,PG,Cluster27,Medoid,df_LatDephtDistance,194498.114571043
AtLeastIn1,PG,Cluster27,Medoid,df_AbioticsDistance,178950.497552087
AtLeastIn1,PG,Cluster28,Ward,df_LatDephtDistance,209066.062794611
AtLeastIn1,PG,Cluster28,Ward,df_AbioticsDistance,197399.417440179
AtLeastIn1,PG,Cluster28,Medoid,df_LatDephtDistance,186598.429509429
AtLeastIn1,PG,Cluster28,Medoid,df_AbioticsDistance,174815.070214946
AtLeastIn1,PG,Cluster29,Ward,df_LatDephtDistance,208327.768054837
AtLeastIn1,PG,Cluster29,Ward,df_AbioticsDistance,196965.866386938
AtLeastIn1,PG,Cluster29,Medoid,df_LatDephtDistance,172108.04966702
AtLeastIn1,PG,Cluster29,Medoid,df_AbioticsDistance,161613.405452193
AtLeastIn1,PG,Cluster30,Ward,df_LatDephtDistance,196319.261644168
AtLeastIn1,PG,Cluster30,Ward,df_AbioticsDistance,184910.0142238
AtLeastIn1,PG,Cluster30,Medoid,df_LatDephtDistance,164814.08410935
AtLeastIn1,PG,Cluster30,Medoid,df_AbioticsDistance,153416.865420898
AtLeastIn1,PG,Cluster31,Ward,df_LatDephtDistance,178109.679774556
AtLeastIn1,PG,Cluster31,Ward,df_AbioticsDistance,167039.548048006
AtLeastIn1,PG,Cluster31,Medoid,df_LatDephtDistance,152486.114291413
AtLeastIn1,PG,Cluster31,Medoid,df_AbioticsDistance,141810.967619568
AtLeastIn1,PG,Cluster32,Ward,df_LatDephtDistance,173368.374811723
AtLeastIn1,PG,Cluster32,Ward,df_AbioticsDistance,164933.429651033
